Environment,DatabaseName,TableName,TableKind,ColumnCount,PrimaryIndex,SecondaryIndexCols,HasForeignKey,TableComment,Creator
prod,ABI_PRD,ABMED_OCS_ADJ,View,102,"",,false,"",ABI_PRD
prod,ABI_PRD,EMA_EVNT500_DL_EPX_V,View,16,"",,false,"",ABI_PRD
prod,ABI_PRD,IRB_SRVC_DEFINITIONS,View,12,"",,false,"",ABI_PRD
prod,ABI_PRD,vc_ret_il_sl_range,View,13,"",,false,"",ABI_PRD
prod,OPS_PROD,Alert_tab,Table,9,UPI: Alert_req,Alert_Action,false,"",HAASBRGE
prod,OPS_PROD,BKEY_PARTY_BKP210414,Table,6,NUPI: SRC_KEY,,false,"",OPS_PRD
prod,OPS_PROD,BKEY_PARTY_BKP210427,Table,6,NUPI: SRC_KEY,,false,"",OPS_PRD
prod,OPS_PROD,CALL_AREA_BKP180414,Table,15,NUPI: Call_Area_Id,,false,"",OPS_PRD
prod,OPS_PROD,CPU_USAGE,Table,7,"UPI: username, CollectDate, CollectHour",,false,"",HAASBRGE
prod,OPS_PROD,CPU_daily,Table,10,"UPI: AccountName, UserName, Vproc, LoadHR, LoadDate",,false,"",HAASBRGE
prod,OPS_PROD,DBQL_RESP_Report,Table,20,"","RuleName, startDate, startHour",false,"",HAASBRGE
prod,OPS_PROD,DBQL_RESP_Report_RS,Table,21,"","RuleName, startDate, startHour, TASMRuleSet",false,"",HAASBRGE
prod,OPS_PROD,DBQL_RESP_Report_RState,Table,23,"NUPI: RuleName, startDate, startHour, TASMRuleset",,false,"",HAASBRGE
prod,OPS_PROD,DBQL_RESP_Report_RSv2,View,25,"",,false,"",ajamr
prod,OPS_PROD,EVNT_DETL_RCD_DEDUP,Table,4,NUPI: Netwk_Actvy_Id,,false,"",OPS_PRD
prod,OPS_PROD,REQUEST_RESPONSE_PER_DAY,Table,15,"NUPI: workload_nm, Runday",,false,"",HAASBRGE
prod,OPS_PROD,Spacemove_log,Table,10,UPI: TR_NUMBER,AlertReq,false,"",HAASBRGE
prod,OPS_PROD,Spacemove_log_log,Table,3,NUPI: seq,,false,"",HAASBRGE
prod,OPS_PROD,TOP_QFH,Table,10,NUPI: queryid,,false,"",ODENDALR
prod,OPS_PROD,TOP_QFH_BKP,Table,10,NUPI: queryid,,false,"",ODENDALR
prod,OPS_PROD,TOP_QFH_V2,Table,11,NUPI: queryid,,false,"",HAASBRGE
prod,OPS_PROD,USER_ACCT_CPU_USAGE,Table,7,"NUPI: Runday, userName",userName,false,"",HAASBRGE
prod,OPS_PROD,USER_DBQL_USAGE_PER_DAY,Table,7,"NUPI: Runday, userName",userName,false,"",HAASBRGE
prod,OPS_PROD,dbc_ERROR_Code,Table,3,NUPI: error_code,,false,"",HAASBRGE
prod,OPS_PROD,rad_netw_elmt__mbkp,Table,19,NUPI: Radio_Netwk_Element_Uid,,false,"",OPS_PRD
prod,OPS_PROD,rad_netw_elmt_bkp,Table,16,NUPI: Radio_Netwk_Element_Uid,,false,"",OPS_PRD
prod,OPS_PROD,resusage_Report,Table,26,"","RuleName, StartDate, StartHour",false,"",HAASBRGE
prod,PRD_EDW_ADS,SUBS_ACCS_METH_PRIMY,Table,13,NUPI: subs_id,,false,"",hattinghd
