object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CleanupOnError,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GenType,GlobalId,GrpFunc,HasUnparsedIdent,HintSyncState,ICheckKm,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IEuKmRef,IExOnLsRef,IExecUnit,IExecUnitGrp,IFcoId,IFolder,IFromPhyNode,ILschemaRef,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapRefCp,IMapping,IOwnerDs,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IOwnerPhyNode,IParExecUnit,IParMapAttr,IParMapCp,IParPhyNode,IPhyExpr,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IRefPhyNode,IRmExprRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,ISrcCompKm,IStartMapCp,ITechno,ITgtCompKm,IToPhyNode,IndChange,IndFixedByHint,IndFixedByTechno,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsConcurrent,IsDerivedName,IsFixedEu,IsFrozen,IsHidden,IsParsed,IsRequired,IsReusable,IsTap,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,LogStagelocName,LschemaName,MetadataVersion,MorigTxtNb,MtxtNb,MultiConGenType,Name,NodeType,OdiVersion,OptClassName,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,PushedByHint,QualifiedName,QualifiedName2,QualifiedName3,RefCompName,RefCount,RefCpName,RefDsInputCp,RefExprQualName,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StageTableName,StepNb,SyncReqd,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpMapping,,,,,,null,,,,,,,,null,null,,,,,,null,,,,,2026-06-16 20:37:17.0,ENDER,,fa4adfd8-3d3b-402f-9728-c31209f76e0c,,,,,null,,,,,,,,,,4111,,,,,,,,,,,,,,,33424,,,,,,,,,,,,,,,null,,,,,,,,,null,,null,null,,,,,,,U,,,,,5,,,,,,,,,,N,,,,,,,2026-06-16 21:15:50.0,ENDER,,,,,12,,,,Test_3,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,564063c3-7020-4b9b-be8e-0f9771e4881d,,,,,,,,,,,,,,8583,,,,,,,,,,,,,,1828820,,,,,,,,,33424,,,,,,,,,,,169332,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Pmt_Meth_Type_Nm,null,null,,1,,,,8f0953e2-76cd-49d4-a611-72b0368ccd71,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataStore,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,e658b581-62c1-41b5-a73b-1615dd746cd2,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828814,,,,,,,,,33424,,,,,,,,,,,8583,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,COPY_OF_EDW_SEM.d_pmt_meth_type,null,null,,5,,,,11ebabad-5212-43df-9a41-43c6a405c40f,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapComp,,,null,,,null,,,,null,,,,null,null,,,,,,,,,,,,,,744c06a7-5a31-491b-a570-31de406f7064,,,,,,,,,,,,,,,,,,,191370,1,,,,,,,,1828814,,,,,null,,,,33424,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,d_pmt_meth_type,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,DATASTORE,,,,
SnpMapCp,,,,,,null,M,,null,,1,null,,null,null,O,,,,,,,,,,,,,72968760-2cf5-4b7a-b905-1e843850cadb,,,,,,,,,,,,,,,,,,,,,,404959,2,,,,,null,,,,,191370,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,d56af716-c985-435f-81fe-66d430572180,AUTO,,,,,1828825,,,,,,,,,,,,1403552,,,,,,,,,,1828820,,,,,,404959,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_nm,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,3,null,,,,,,,,,,,,,
SnpMapCp,,,,,,null,M,,null,,1,null,,null,null,I,,,,,,,,,,,,,d30d3df7-3944-4c11-ba23-45b769676430,,,,,,,,,,,,,,,,,,,,,,404958,1,,,,,null,,,,,191370,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,0416c0ba-87ef-4085-845f-0d3d9c31a222,,null,,,,,,null,,,null,,,,,,,,,,,404958,,982208,,,,,,,,1403552,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,1,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,-941667262,0,pmt_meth_type.pmt_meth_type_nm,,,,,null,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,a7f2ff3d-5092-451d-a31d-f236ec5f70bc,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828837,,,,,,,,,33424,,,,,,,,,,,4475,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,CW_PRJ_EDW_PILOT.BQ  Insert Inplace Update,null,null,,1,,,,bde849d9-3b4a-4abf-be74-7158a2527c01,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IContext,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,2066af52-2f45-4f54-b930-fb96bba7684d,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828836,,,,,,,,,33424,,,,,,,,,,,29,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,BIGQUERY_DEV_CONTEXT,null,null,,3,,,,6d84d77b-b84b-4c43-a565-991b37d554bf,,,,,,,,null,,,,,,,,,,,,,,,,,,
