object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GlobalId,GrpFunc,HasUnparsedIdent,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IExOnLsRef,IExecUnit,IFcoId,IFolder,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapping,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IParMapAttr,IParMapCp,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,IStartMapCp,ITechno,IndChange,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsDerivedName,IsHidden,IsParsed,IsRequired,IsReusable,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,MetadataVersion,MorigTxtNb,MtxtNb,Name,OdiVersion,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,QualifiedName,QualifiedName2,QualifiedName3,RefCount,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StepNb,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpMapping,,,,,,null,,,,,,,null,null,,,,,,null,,,,,2026-06-16 20:37:17.0,ENDER,fa4adfd8-3d3b-402f-9728-c31209f76e0c,,,null,,,,,,,,4111,,,,,,,,,,,,33424,,,,,,,,,,null,,,,,,,null,,null,null,,,,I,,,1,,,,,,,N,,,,,,2026-06-16 20:37:17.0,ENDER,,,12,,,Test_3,,,,,,,,,,,,,,null,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d,,,,,,,,,,8583,,,,,,,,,,,,1828820,,,,,,,33424,,,,,,,169332,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Nm,null,null,1,8f0953e2-76cd-49d4-a611-72b0368ccd71,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapRef,IDataStore,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2,,,,,,,,,,null,,,,,,,,,,,,1828814,,,,,,,33424,,,,,,,8583,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,COPY_OF_EDW_SEM.D_PMT_METH_TYPE,null,null,4,11ebabad-5212-43df-9a41-43c6a405c40f,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapComp,,,null,,,null,,,null,,,,null,null,,,,,,,,,,,,,744c06a7-5a31-491b-a570-31de406f7064,,,,,,,,,,,,,191370,1,,,,,,,,1828814,,,null,,,,33424,,,,,,,,,,,,,,,,,null,,,,,,0,1,0,,,,,,,,,,,,,,,,D_PMT_METH_TYPE,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,2,,,,,,,,DATASTORE,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,O,,,,,,,,,,,,72968760-2cf5-4b7a-b905-1e843850cadb,,,,,,,,,,,,,,,,404959,2,,,,,null,,,191370,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,d56af716-c985-435f-81fe-66d430572180,AUTO,,,1828819,,,,,,,,1403552,,,,,,,,,,1828820,,,,404959,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,100,,,,,Pmt_Meth_Type_Nm,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,null,,3,null,,,,,,,,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,I,,,,,,,,,,,,d30d3df7-3944-4c11-ba23-45b769676430,,,,,,,,,,,,,,,,404958,1,,,,,null,,,191370,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,0416c0ba-87ef-4085-845f-0d3d9c31a222,,null,,,,null,,null,,,,,,,,404958,,982208,,,,,,1403552,,,,null,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,1,,,,,,,,null,null,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,1383696546,0,PMT_METH_TYPE.Pmt_Meth_Type_Nm,,,,,null,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85,,,,,,,,,,9418,,,,,,,,,,,,1828818,,,,,,,33424,,,,,,,180829,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Nm,null,null,1,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapRef,IDataStore,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d,,,,,,,,,,null,,,,,,,,,,,,1828813,,,,,,,33424,,,,,,,9418,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,COPY_OF_EDW_VODACOM.PMT_METH_TYPE,null,null,5,8387f7b7-54ac-4c99-9a71-b53ace96e599,,,,,,,,null,,,,,,,,,,,,,,,,
