object_class,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId
SnpFKXRef,SNP_FOLDER.4111,CW_PRJ_EDW_PILOT.Test,16.4,SNP_PROJECT.SNP_FOLDER,5bc84a14-db68-49ca-bb05-2209a4926d8d
SnpFKXRef,SNP_MAPPING.33424,CW_PRJ_EDW_PILOT.Test.Test_3,16.4.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING,fa4adfd8-3d3b-402f-9728-c31209f76e0c
SnpFKXRef,SNP_COL.169332,Copy of EDW_SEM.Global.d_pmt_meth_type.pmt_meth_type_nm,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,8f0953e2-76cd-49d4-a611-72b0368ccd71
SnpFKXRef,SNP_TABLE.8583,Copy of EDW_SEM.Global.d_pmt_meth_type,15.6.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,11ebabad-5212-43df-9a41-43c6a405c40f
SnpFKXRef,SNP_MAPREF.1828814,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2
SnpFKXRef,SNP_MAPCOMPTYPE.1,DATASTORE,9,SNP_MAPCOMPTYPE,0d5a2da0-6631-4235-8da3-c3b153d2191f
SnpFKXRef,SNP_MAPCOMP.191370,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type,16.4.6.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,744c06a7-5a31-491b-a570-31de406f7064
SnpFKXRef,SNP_MAPCPROLE.2,DATASTORE.OUTPUT,9.6,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,ac3fd92c-54be-414b-98fb-6ccdf50b11b6
SnpFKXRef,SNP_MAPCP.404959,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type.OUTPUT1,16.4.6.15.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,72968760-2cf5-4b7a-b905-1e843850cadb
SnpFKXRef,SNP_MAPREF.1828820,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d
SnpFKXRef,SNP_MAPREF.1828825,null,null,null,cf83dcae-361c-4c47-b184-20c9968d027b
SnpFKXRef,SNP_MAPCPROLE.1,DATASTORE.INPUT,9.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,afc08a78-e4fb-43bd-b602-ee46151b080e
SnpFKXRef,SNP_MAPATTR.1403552,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type.OUTPUT1.pmt_meth_type_nm,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,d56af716-c985-435f-81fe-66d430572180
SnpFKXRef,SNP_MAPCP.404958,CW_PRJ_EDW_PILOT.Test.Test_3.d_pmt_meth_type.INPUT1,16.4.6.15.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,d30d3df7-3944-4c11-ba23-45b769676430
SnpFKXRef,SNP_TRT.4475,CW_PRJ_EDW_PILOT.BQ  Insert Inplace Update,16.25,SNP_PROJECT.SNP_TRT,bde849d9-3b4a-4abf-be74-7158a2527c01
SnpFKXRef,SNP_DEPLOYSPEC.33413,CW_PRJ_EDW_PILOT.Test.Test_3.Physical,16.4.6.8,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_DEPLOYSPEC,0d08ed00-4eb7-492c-a0eb-95d2d8575094
SnpFKXRef,SNP_EXECUNIT.33428,TARGET_GROUP.Copy_of_BQ_EDW_SEM_UNIT,12.23,SNP_EXECUNITGRP.SNP_EXECUNIT,99180bfb-66b7-4863-a552-49688669fa0f
SnpFKXRef,SNP_MAPREF.1828837,null,null,null,a7f2ff3d-5092-451d-a31d-f236ec5f70bc
SnpFKXRef,SNP_CONTEXT.29,BIGQUERY_DEV_CONTEXT,20,SNP_CONTEXT,6d84d77b-b84b-4c43-a565-991b37d554bf
SnpFKXRef,SNP_MAPREF.1828836,null,null,null,2066af52-2f45-4f54-b930-fb96bba7684d
SnpFKXRef,SNP_EXECUNITGRP.33424,TARGET_GROUP,12,SNP_EXECUNITGRP,05f2e0a7-e841-49d2-a246-7ff5458da667
