object_class,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId
SnpFKXRef,SNP_FOLDER.4111,CW_PRJ_EDW_PILOT.Test,16.4,SNP_PROJECT.SNP_FOLDER,5bc84a14-db68-49ca-bb05-2209a4926d8d
SnpFKXRef,SNP_MAPPING.33424,CW_PRJ_EDW_PILOT.Test.Test_3,16.4.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING,fa4adfd8-3d3b-402f-9728-c31209f76e0c
SnpFKXRef,SNP_COL.169332,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Nm,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,8f0953e2-76cd-49d4-a611-72b0368ccd71
SnpFKXRef,SNP_TABLE.8583,Copy of EDW_SEM.Global.D_PMT_METH_TYPE,15.6.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,11ebabad-5212-43df-9a41-43c6a405c40f
SnpFKXRef,SNP_MAPREF.1828814,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2
SnpFKXRef,SNP_MAPCOMPTYPE.1,DATASTORE,9,SNP_MAPCOMPTYPE,0d5a2da0-6631-4235-8da3-c3b153d2191f
SnpFKXRef,SNP_MAPCOMP.191370,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE,16.4.6.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,744c06a7-5a31-491b-a570-31de406f7064
SnpFKXRef,SNP_MAPCPROLE.2,DATASTORE.OUTPUT,9.6,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,ac3fd92c-54be-414b-98fb-6ccdf50b11b6
SnpFKXRef,SNP_MAPCP.404959,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1,16.4.6.15.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,72968760-2cf5-4b7a-b905-1e843850cadb
SnpFKXRef,SNP_MAPREF.1828820,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d
SnpFKXRef,SNP_MAPREF.1828819,null,null,null,2906a6b8-ff22-496d-b3f0-0efa303d0003
SnpFKXRef,SNP_MAPCPROLE.1,DATASTORE.INPUT,9.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,afc08a78-e4fb-43bd-b602-ee46151b080e
SnpFKXRef,SNP_MAPATTR.1403552,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Nm,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,d56af716-c985-435f-81fe-66d430572180
SnpFKXRef,SNP_MAPCP.404958,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.INPUT1,16.4.6.15.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,d30d3df7-3944-4c11-ba23-45b769676430
SnpFKXRef,SNP_COL.180829,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Nm,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe
SnpFKXRef,SNP_TABLE.9418,Copy of EDW_VODACOM.Global.PMT_METH_TYPE,19.6.13,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,8387f7b7-54ac-4c99-9a71-b53ace96e599
SnpFKXRef,SNP_MAPCP.404955,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1,16.4.6.13.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,da192690-bfc0-4931-ada0-344b7e2b083e
SnpFKXRef,SNP_MAPREF.1828818,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85
SnpFKXRef,SNP_MAPREF.1828813,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d
