object_class,AdapterIntfType,AdapterName,BusinessName,Description,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GlobalId,IFcoId,IMapRef,IOwnerMapping,IRefId,IScId,IndChange,IntVersion,LastDate,LastUser,Name,QualifiedName,QualifiedName2,QualifiedName3,RefCount,RefGuid,ScGuid
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d,8583,1828820,33424,169332,null,null,null,null,null,null,Pmt_Meth_Type_Nm,null,null,1,8f0953e2-76cd-49d4-a611-72b0368ccd71,null
SnpMapRef,IDataStore,ODI,null,null,null,null,null,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2,null,1828814,33424,8583,null,null,null,null,null,null,COPY_OF_EDW_SEM.D_PMT_METH_TYPE,null,null,4,11ebabad-5212-43df-9a41-43c6a405c40f,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85,9418,1828818,33424,180829,null,null,null,null,null,null,Pmt_Meth_Type_Nm,null,null,1,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe,null
SnpMapRef,IDataStore,ODI,null,null,null,null,null,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d,null,1828813,33424,9418,null,null,null,null,null,null,COPY_OF_EDW_VODACOM.PMT_METH_TYPE,null,null,5,8387f7b7-54ac-4c99-9a71-b53ace96e599,null
SnpMapRef,IDataType,ODI,null,null,null,null,null,null,null,null,f59120ba-0d2f-4caf-8dfb-7e130f73661c,null,1828824,33424,301,null,null,null,null,null,null,TERADATA.TIMESTAMP,null,null,1,e14b0421-fe9a-3844-9b52-64d96a1ed0de,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,4e3fe6b8-8bc4-4e71-aac0-95302279b367,9418,1828823,33424,180832,null,null,null,null,null,null,Prcss_Clsd_Dttm,null,null,1,4fa524ef-3e35-4b39-bc55-fe288d0e1cf0,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,59927b2e-23ee-42e3-a68b-947bac73df1d,8583,1828822,33424,169333,null,null,null,null,null,null,Pmt_Meth_Type_Desc,null,null,1,883984c7-e06a-4291-908e-f38d3e7f4151,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,85ea0615-1c9a-47ed-b86b-71b48cfca05d,9418,1828821,33424,180830,null,null,null,null,null,null,Pmt_Meth_Type_Desc,null,null,1,c5f882e6-89c1-4da7-af41-396945c12cfc,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9,8583,1828817,33424,169331,null,null,null,null,null,null,Pmt_Meth_Type_Cd,null,null,1,a1c68c79-4004-4777-93a9-03a03693afb7,null
SnpMapRef,IColumn,ODI,null,null,null,IDataStore,null,null,null,null,e7b08aef-3146-4e46-b482-1abd14ff00ca,9418,1828815,33424,180828,null,null,null,null,null,null,Pmt_Meth_Type_Cd,null,null,1,76e332bd-0772-4007-b269-53e01d97f9c3,null
SnpMapRef,IDataType,ODI,null,null,null,null,null,null,null,null,2906a6b8-ff22-496d-b3f0-0efa303d0003,null,1828819,33424,678,null,null,null,null,null,null,TERADATA.VARCHAR,null,null,4,ce91f01b-1028-3055-a164-aebdcf008277,null
SnpMapRef,IDataType,ODI,null,null,null,null,null,null,null,null,5e33b58d-698f-47ab-afb3-a66428587329,null,1828816,33424,677,null,null,null,null,null,null,TERADATA.CHAR,null,null,2,b428d44f-8fd1-3aa9-93b4-686dd936032b,null
